metric,family_id_group,treatment_group,n,mean,sd,se,median
metabolism_per_area_mm2_measurement,blue,control,20,0.3464357630486191,0.18116742475550376,0.040510267706188464,0.289003670823244
metabolism_per_area_mm2_measurement,blue,selected,20,0.33182486708282616,0.10805717397340812,0.02416231864610616,0.3450169270090122
metabolism_per_area_mm2_measurement,tweed,control,20,0.3053528691918198,0.10668688972953323,0.023855913774326044,0.32150937886882924
metabolism_per_area_mm2_measurement,tweed,selected,20,0.2482025502885933,0.14474210650178904,0.03236531893445146,0.21789171933809628
