plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_cm2.measurement,imageJ_ID
plate-F,A01,FALSE,,1,,FALSE,,,,,,
plate-F,A02,FALSE,,2,,FALSE,,,,,,
plate-F,A03,FALSE,,3,,FALSE,,,,,,
plate-F,A04,TRUE,,4,,FALSE,,,,,,
plate-F,B01,FALSE,,5,,FALSE,,,,,,
plate-F,B02,FALSE,,6,,FALSE,,,,,,
plate-F,B03,FALSE,,7,,FALSE,,,,,,
plate-F,B04,TRUE,,8,,FALSE,,,,,,
plate-F,C01,FALSE,,,,FALSE,,,,,,
plate-F,C02,FALSE,,10,,FALSE,,,,,,
plate-F,C03,FALSE,,11,,FALSE,,,,,,
plate-F,C04,TRUE,,12,,FALSE,,,,,,
plate-N,A01,FALSE,,1,,FALSE,,,,,,
plate-N,A02,FALSE,,2,,FALSE,,,,,,
plate-N,A03,FALSE,,3,,FALSE,,,,,,
plate-N,A04,TRUE,,4,,FALSE,,,,,,
plate-N,B01,FALSE,,5,,FALSE,,,,,,
plate-N,B02,FALSE,,6,,FALSE,,,,,,
plate-N,B03,FALSE,,7,,TRUE,mixed up with B04,,,,,
plate-N,B04,TRUE,,8,,TRUE,mixed up with B03,,,,,
plate-N,C01,FALSE,,,,FALSE,,,,,,
plate-N,C02,FALSE,,10,,FALSE,,,,,,
plate-N,C03,FALSE,,11,,FALSE,,,,,,
plate-N,C04,TRUE,,12,,FALSE,,,,,,
