contrast,storage,estimate,SE,df,t.ratio,p.value
time_f1 - time_f2,ice,0.005495598798654613,0.007658821145959018,60.00000000000043,0.7175515257402538,0.9516663598500106
time_f1 - time_f6,ice,-0.006471210960828417,0.007658821145959019,60.00000000000066,-0.8449356418569437,0.9153582524919873
time_f1 - time_f25,ice,-0.061014349929097066,0.007658821145959018,60.000000000000895,-7.966545864736603,5.759527299531442e-10
time_f1 - time_f96,ice,-0.07869722483222998,0.007658821145959019,60.00000000000136,-10.27537049533433,2.0002111078554208e-11
time_f2 - time_f6,ice,-0.01196680975948303,0.007658821145959033,59.99999999999974,-1.5624871675971947,0.5268715592152391
time_f2 - time_f25,ice,-0.06650994872775168,0.007658821145959032,59.99999999999974,-8.684097390476841,5.350153653438383e-11
time_f2 - time_f96,ice,-0.0841928236308846,0.007658821145959033,59.999999999999964,-10.992922021074566,1.992062070854672e-11
time_f6 - time_f25,ice,-0.05454313896826865,0.007658821145959032,59.999999999999964,-7.121610222879647,1.540327476678982e-8
time_f6 - time_f96,ice,-0.07222601387140155,0.007658821145959032,59.999999999999964,-9.43043485347737,2.1807111671989787e-11
time_f25 - time_f96,ice,-0.01768287490313291,0.007658821145959033,59.999999999999964,-2.308824630597725,0.15634977624002644
time_f1 - time_f2,room_temp,-0.00370937195577416,0.008123406552303841,60.00000000000066,-0.4566276391426159,0.9908156538032444
time_f1 - time_f6,room_temp,0.012357510892319035,0.008123406552303845,60.000000000000895,1.5212227546107948,0.5530317153221271
time_f1 - time_f25,room_temp,-0.05837278863584498,0.008123406552303845,60.000000000000895,-7.185752462344769,1.1978639857801454e-8
time_f1 - time_f96,room_temp,-0.07746043069483124,0.008123406552303841,60.00000000000066,-9.53546153280523,2.118316633215045e-11
time_f2 - time_f6,room_temp,0.016066882848093194,0.008123406552303838,59.999999999999964,1.9778503937534122,0.289204853711972
time_f2 - time_f25,room_temp,-0.054663416680070825,0.008123406552303838,59.999999999999964,-6.729124823202159,7.158429338183225e-8
time_f2 - time_f96,room_temp,-0.07375105873905709,0.008123406552303836,59.999999999999964,-9.07883389366262,2.718747449392822e-11
time_f6 - time_f25,room_temp,-0.07073029952816402,0.008123406552303838,59.999999999999964,-8.706975216955572,5.064004771071495e-11
time_f6 - time_f96,room_temp,-0.08981794158715027,0.008123406552303836,59.999999999999964,-11.056684287416033,1.9917290039472846e-11
time_f25 - time_f96,room_temp,-0.019087642058986255,0.008123406552303838,59.999999999999964,-2.3497090704604595,0.14378635778675408
