contrast,time_f,estimate,SE,df,t.ratio,p.value
ice - room_temp,1,-0.014290115386927482,0.008051523363459049,74.55528325019795,-1.7748337478323164,0.08000719562632995
ice - room_temp,2,-0.023495086141356255,0.00805152336345905,74.5552832501961,-2.9180920281478793,0.004652758201929194
ice - room_temp,6,0.0045386064662199695,0.00805152336345905,74.55528325019647,0.5636953730790789,0.5746531262668315
ice - room_temp,25,-0.011648554093675403,0.00805152336345905,74.5552832501961,-1.4467515733160607,0.15215795520244468
ice - room_temp,96,-0.01305332124952875,0.00805152336345905,74.55528325019647,-1.621223793346959,0.10919161150140409
