trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
1,tweed,selected,0.4124259295123911,5,metabolism_per_area_mm2_measurement
10,blue,selected,0.2447351338703353,5,metabolism_per_area_mm2_measurement
11,tweed,control,0.16411925312872233,5,metabolism_per_area_mm2_measurement
12,tweed,selected,0.7433818118639696,5,metabolism_per_area_mm2_measurement
13,blue,selected,0.45770509083882543,5,metabolism_per_area_mm2_measurement
14,tweed,control,0.15438491686066247,5,metabolism_per_area_mm2_measurement
15,blue,control,0.3983230417278495,5,metabolism_per_area_mm2_measurement
16,tweed,selected,0.3651493458285913,5,metabolism_per_area_mm2_measurement
17,blue,selected,0.16955518014553864,5,metabolism_per_area_mm2_measurement
18,tweed,control,0.913584495419048,5,metabolism_per_area_mm2_measurement
19,blue,control,0.4717449307293013,5,metabolism_per_area_mm2_measurement
2,blue,selected,0.7865886325759528,5,metabolism_per_area_mm2_measurement
20,tweed,selected,0.16183701604528036,5,metabolism_per_area_mm2_measurement
21,blue,selected,0.4735443129425127,5,metabolism_per_area_mm2_measurement
22,blue,control,0.09230910540874157,5,metabolism_per_area_mm2_measurement
23,tweed,selected,0.3271492408049314,5,metabolism_per_area_mm2_measurement
24,blue,selected,0.4739917430861824,5,metabolism_per_area_mm2_measurement
25,tweed,control,0.3379589021535208,5,metabolism_per_area_mm2_measurement
26,blue,control,0.2363058794926075,5,metabolism_per_area_mm2_measurement
27,tweed,selected,0.17065860803023264,5,metabolism_per_area_mm2_measurement
28,blue,selected,0.36778867951620203,5,metabolism_per_area_mm2_measurement
29,tweed,control,0.2608799979554947,5,metabolism_per_area_mm2_measurement
3,tweed,control,0.21177564331228452,5,metabolism_per_area_mm2_measurement
30,blue,control,0.6324150393731082,5,metabolism_per_area_mm2_measurement
31,blue,selected,0.4832678560512639,5,metabolism_per_area_mm2_measurement
32,tweed,control,0.4913174340719167,5,metabolism_per_area_mm2_measurement
33,blue,control,0.1458726740763629,5,metabolism_per_area_mm2_measurement
34,tweed,selected,0.10503839086137404,5,metabolism_per_area_mm2_measurement
35,blue,selected,0.16395559016723296,5,metabolism_per_area_mm2_measurement
36,tweed,control,0.555076621265456,5,metabolism_per_area_mm2_measurement
37,blue,control,0.45851297198207935,5,metabolism_per_area_mm2_measurement
38,tweed,selected,0.19611732973588944,5,metabolism_per_area_mm2_measurement
39,blue,selected,0.04505137165583639,5,metabolism_per_area_mm2_measurement
4,blue,control,0.5915931854638835,5,metabolism_per_area_mm2_measurement
40,tweed,control,0.3403916034719242,5,metabolism_per_area_mm2_measurement
41,blue,control,0.593940693362183,5,metabolism_per_area_mm2_measurement
42,tweed,selected,0.35348768330362956,5,metabolism_per_area_mm2_measurement
43,tweed,control,0.19154666331479375,5,metabolism_per_area_mm2_measurement
44,blue,control,0.16271508937536433,5,metabolism_per_area_mm2_measurement
45,tweed,selected,0.16463946577920174,5,metabolism_per_area_mm2_measurement
46,blue,selected,0.24804647070326902,5,metabolism_per_area_mm2_measurement
47,tweed,control,0.4289074971407289,5,metabolism_per_area_mm2_measurement
48,blue,control,0.7000323628765648,5,metabolism_per_area_mm2_measurement
49,tweed,selected,0.15862760352097935,5,metabolism_per_area_mm2_measurement
5,tweed,selected,0.3902806972128186,5,metabolism_per_area_mm2_measurement
50,blue,selected,0.2113409619170872,5,metabolism_per_area_mm2_measurement
51,tweed,control,0.1603034700611917,5,metabolism_per_area_mm2_measurement
52,blue,control,0.1813333644663253,5,metabolism_per_area_mm2_measurement
53,blue,selected,0.07676196902919001,5,metabolism_per_area_mm2_measurement
54,tweed,control,0.31289376371448546,5,metabolism_per_area_mm2_measurement
55,blue,control,0.26134185248999464,5,metabolism_per_area_mm2_measurement
56,tweed,selected,0.23313436087378897,5,metabolism_per_area_mm2_measurement
57,blue,selected,0.4190199228809166,5,metabolism_per_area_mm2_measurement
58,tweed,control,0.32048857022662397,5,metabolism_per_area_mm2_measurement
59,blue,control,0.16834983954044996,5,metabolism_per_area_mm2_measurement
6,blue,selected,0.2267844617767576,5,metabolism_per_area_mm2_measurement
60,tweed,selected,0.31154508756074584,5,metabolism_per_area_mm2_measurement
61,blue,selected,0.21488066746316375,5,metabolism_per_area_mm2_measurement
62,tweed,control,0.19760544862591206,5,metabolism_per_area_mm2_measurement
63,blue,control,0.2258385128257961,5,metabolism_per_area_mm2_measurement
64,tweed,selected,0.13661255217340382,5,metabolism_per_area_mm2_measurement
65,tweed,control,0.2831408825956666,5,metabolism_per_area_mm2_measurement
66,blue,control,0.10780086400989415,5,metabolism_per_area_mm2_measurement
7,tweed,control,0.3085998264078875,5,metabolism_per_area_mm2_measurement
8,blue,control,0.44595004484680306,5,metabolism_per_area_mm2_measurement
9,tweed,selected,0.20845899856081512,5,metabolism_per_area_mm2_measurement
