metric,family_id_group,treatment_group,n,mean,sd,se,median
metabolism_per_area_mm2_measurement,blue,control,17,0.3455517324733711,0.20270264710760377,0.04916261321276191,0.26134185248999464
metabolism_per_area_mm2_measurement,blue,selected,16,0.3164386277887667,0.1908982654365464,0.0477245663591366,0.24639080228680216
metabolism_per_area_mm2_measurement,tweed,control,17,0.33135146998390114,0.1892121295462132,0.04589068210394642,0.3085998264078875
metabolism_per_area_mm2_measurement,tweed,selected,16,0.2774090076042527,0.15909377053558907,0.03977344263389727,0.22079667971730205
