imageJ_ID,Area,sample_ID.group
1,145.118,14
2,69.291,12
3,110.033,13
4,99.277,15
5,108.551,19
6,154.851,17
7,141.246,16
8,56.47,18
9,161.176,21
10,144.968,22
11,205.072,20
