imageJ_ID,Area,sample_ID.group
1,108.924,57
2,95.881,58
3,129.24,59
4,147.914,56
5,108.129,61
6,119.773,63
7,146.886,60
8,67.258,62
9,238.33,64
10,148.844,66
11,116.868,65
