metric,family_id_group,treatment_group,n,mean,sd,se,median
metabolism_per_area_cm2_measurement,blue,control,16,56.381951777389226,31.680690431958745,7.920172607989686,59.0821817360904
metabolism_per_area_cm2_measurement,blue,selected,16,28.692779254286695,27.949545807923307,6.987386451980827,32.29106803590257
metabolism_per_area_cm2_measurement,tweed,control,17,29.190518650172127,31.81941853301855,7.717342562198331,38.8473025315616
metabolism_per_area_cm2_measurement,tweed,selected,17,25.792674932403155,39.52625576766675,9.586525147957015,32.068907748275464
