trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
a_A1,tweed,selected,34.90556035174125,7,metabolism_per_area_cm2_measurement
a_A2,blue,selected,73.25567608693162,7,metabolism_per_area_cm2_measurement
a_A3,tweed,control,54.81716991946546,7,metabolism_per_area_cm2_measurement
a_A4,blue,control,78.80103961950104,7,metabolism_per_area_cm2_measurement
a_B1,tweed,selected,38.407324042545135,7,metabolism_per_area_cm2_measurement
a_B2,blue,selected,48.05389411176865,7,metabolism_per_area_cm2_measurement
a_B3,tweed,control,62.470991448348734,7,metabolism_per_area_cm2_measurement
a_B4,blue,control,61.174586338241106,7,metabolism_per_area_cm2_measurement
a_C1,tweed,selected,39.9915754271059,7,metabolism_per_area_cm2_measurement
a_C2,blue,selected,39.82119765462308,7,metabolism_per_area_cm2_measurement
a_C3,tweed,control,15.07121551517186,7,metabolism_per_area_cm2_measurement
b_A1,tweed,selected,94.47119854579125,7,metabolism_per_area_cm2_measurement
b_A2,blue,selected,34.171180691489134,7,metabolism_per_area_cm2_measurement
b_A3,tweed,control,21.705731321890344,7,metabolism_per_area_cm2_measurement
b_A4,blue,control,75.39179668835493,7,metabolism_per_area_cm2_measurement
b_B1,tweed,selected,55.78671146067953,7,metabolism_per_area_cm2_measurement
b_B2,blue,selected,37.05319835524979,7,metabolism_per_area_cm2_measurement
b_B3,tweed,control,41.8518274731661,7,metabolism_per_area_cm2_measurement
b_B4,blue,control,83.33480225251213,7,metabolism_per_area_cm2_measurement
b_C1,tweed,selected,27.414783576303627,7,metabolism_per_area_cm2_measurement
b_C2,blue,selected,28.676129800918645,7,metabolism_per_area_cm2_measurement
b_C4,blue,control,56.98977713393969,7,metabolism_per_area_cm2_measurement
c_A1,tweed,selected,-2.711949838681764,7,metabolism_per_area_cm2_measurement
c_A2,blue,selected,-15.814761513170346,7,metabolism_per_area_cm2_measurement
c_A3,tweed,control,5.172724520804632,7,metabolism_per_area_cm2_measurement
c_A4,blue,control,-3.4450655219986115,7,metabolism_per_area_cm2_measurement
c_B1,tweed,selected,-18.450313539827604,7,metabolism_per_area_cm2_measurement
c_B2,blue,selected,-16.43294515187498,7,metabolism_per_area_cm2_measurement
c_B3,tweed,control,-30.65367797856804,7,metabolism_per_area_cm2_measurement
c_C1,tweed,selected,-97.17349756107514,7,metabolism_per_area_cm2_measurement
c_C2,blue,selected,-30.148197111461442,7,metabolism_per_area_cm2_measurement
c_C3,tweed,control,-41.583464506708886,7,metabolism_per_area_cm2_measurement
c_C4,blue,control,-18.850454528752717,7,metabolism_per_area_cm2_measurement
d_A1,tweed,selected,49.34204560425553,7,metabolism_per_area_cm2_measurement
d_A2,blue,selected,46.17800097411548,7,metabolism_per_area_cm2_measurement
d_A3,tweed,control,46.66568437196212,7,metabolism_per_area_cm2_measurement
d_A4,blue,control,85.5269212030267,7,metabolism_per_area_cm2_measurement
d_B1,tweed,selected,34.4425227180849,7,metabolism_per_area_cm2_measurement
d_B2,blue,selected,28.425020639097088,7,metabolism_per_area_cm2_measurement
d_B3,tweed,control,14.545177926523523,7,metabolism_per_area_cm2_measurement
d_B4,blue,control,45.8330343549397,7,metabolism_per_area_cm2_measurement
d_C1,tweed,selected,32.068907748275464,7,metabolism_per_area_cm2_measurement
d_C3,tweed,control,76.91962633516668,7,metabolism_per_area_cm2_measurement
d_C4,blue,control,52.9195347080234,7,metabolism_per_area_cm2_measurement
e_A1,tweed,selected,24.184959044979017,7,metabolism_per_area_cm2_measurement
e_A2,blue,selected,30.410955380315997,7,metabolism_per_area_cm2_measurement
e_A3,tweed,control,61.384033038639366,7,metabolism_per_area_cm2_measurement
e_A4,blue,control,84.4344864416341,7,metabolism_per_area_cm2_measurement
e_B1,tweed,selected,44.02061232677696,7,metabolism_per_area_cm2_measurement
e_B2,blue,selected,28.862841182904422,7,metabolism_per_area_cm2_measurement
e_B3,tweed,control,19.602978808734665,7,metabolism_per_area_cm2_measurement
e_B4,blue,control,43.35494453407283,7,metabolism_per_area_cm2_measurement
e_C2,blue,selected,22.597070583395702,7,metabolism_per_area_cm2_measurement
e_C3,tweed,control,38.8473025315616,7,metabolism_per_area_cm2_measurement
e_C4,blue,control,95.92290665469022,7,metabolism_per_area_cm2_measurement
f_A1,tweed,selected,31.92061546840959,7,metabolism_per_area_cm2_measurement
f_A2,blue,selected,41.4413494281942,7,metabolism_per_area_cm2_measurement
f_A3,tweed,control,46.63454668923388,7,metabolism_per_area_cm2_measurement
f_A4,blue,control,34.1524809208815,7,metabolism_per_area_cm2_measurement
f_B1,tweed,selected,25.66585312009271,7,metabolism_per_area_cm2_measurement
f_B2,blue,selected,62.53385695609007,7,metabolism_per_area_cm2_measurement
f_B3,tweed,control,15.285485263287704,7,metabolism_per_area_cm2_measurement
f_B4,blue,control,71.0224358654823,7,metabolism_per_area_cm2_measurement
f_C1,tweed,selected,24.18856535539726,7,metabolism_per_area_cm2_measurement
f_C3,tweed,control,47.50146437424639,7,metabolism_per_area_cm2_measurement
f_C4,blue,control,55.548001773679346,7,metabolism_per_area_cm2_measurement
