plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_cm2.measurement,imageJ_ID
plate-G,A01,FALSE,TWEED,1,SELECTED,FALSE,,,,,1.585,3
plate-G,A02,FALSE,BLUE,2,SELECTED,FALSE,,,,,1.311,4
plate-G,A03,FALSE,TWEED,3,CONTROL,TRUE,volume loss,,,,1.83,1
plate-G,A04,FALSE,BLUE,4,CONTROL,FALSE,,,,,0.818,2
plate-G,B01,FALSE,TWEED,5,SELECTED,FALSE,,,,,1.274,6
plate-G,B02,FALSE,BLUE,6,SELECTED,FALSE,,,,,0.858,8
plate-G,B03,FALSE,TWEED,7,CONTROL,FALSE,,,,,1.162,5
plate-G,B04,FALSE,BLUE,8,CONTROL,FALSE,,,,,0.976,7
plate-G,C01,TRUE,,,,FALSE,,,,,,
plate-G,C02,FALSE,BLUE,10,SELECTED,FALSE,,,,,1.172,10
plate-G,C03,FALSE,TWEED,11,CONTROL,FALSE,,,,,0.858,11
plate-G,C04,FALSE,BLUE,12,CONTROL,FALSE,,,,,1.515,9
plate-H,A01,FALSE,TWEED,13,SELECTED,FALSE,,,,,1.573,3
plate-H,A02,FALSE,BLUE,14,SELECTED,FALSE,,,,,1.31,4
plate-H,A03,FALSE,TWEED,15,CONTROL,FALSE,,,,,1.105,2
plate-H,A04,FALSE,BLUE,16,CONTROL,FALSE,,,,,1.084,1
plate-H,B01,FALSE,TWEED,17,SELECTED,FALSE,,,,,1.234,7
plate-H,B02,FALSE,BLUE,18,SELECTED,FALSE,,,,,0.937,6
plate-H,B03,FALSE,TWEED,19,CONTROL,FALSE,,,,,0.93,8
plate-H,B04,FALSE,BLUE,20,CONTROL,FALSE,,,,,1.25,5
plate-H,C01,FALSE,TWEED,21,SELECTED,FALSE,,,,,1.584,11
plate-H,C02,TRUE,,,,FALSE,,,,,,
plate-H,C03,FALSE,TWEED,23,CONTROL,FALSE,,,,,1.307,10
plate-H,C04,FALSE,BLUE,24,CONTROL,FALSE,,,,,1.215,9
plate-I,A01,FALSE,TWEED,25,SELECTED,FALSE,,,,,1.201,3
plate-I,A02,FALSE,BLUE,26,SELECTED,FALSE,,,,,1.251,1
plate-I,A03,FALSE,TWEED,27,CONTROL,FALSE,,,,,1.251,1
plate-I,A04,FALSE,BLUE,28,CONTROL,FALSE,,,,,1.243,2
plate-I,B01,FALSE,TWEED,29,SELECTED,FALSE,,,,,1.13,7
plate-I,B02,FALSE,BLUE,30,SELECTED,FALSE,,,,,0.826,6
plate-I,B03,FALSE,TWEED,31,CONTROL,FALSE,,,,,1.064,5
plate-I,B04,FALSE,BLUE,32,CONTROL,FALSE,,,,,0.926,8
plate-I,C01,FALSE,TWEED,33,SELECTED,FALSE,,,,,1.221,10
plate-I,C02,FALSE,BLUE,34,SELECTED,FALSE,,,,,1.367,9
plate-I,C03,TRUE,,,,FALSE,,,,,,
plate-I,C04,FALSE,BLUE,36,CONTROL,FALSE,,,,,0.955,11
plate-J,A01,FALSE,TWEED,37,SELECTED,FALSE,,,,,1.376,3
plate-J,A02,FALSE,BLUE,38,SELECTED,FALSE,,,,,1.276,4
plate-J,A03,FALSE,TWEED,39,CONTROL,FALSE,,,,,0.858,2
plate-J,A04,FALSE,BLUE,40,CONTROL,FALSE,,,,,1.083,1
plate-J,B01,FALSE,TWEED,41,SELECTED,TRUE,volume loss,,,,1.748,8
plate-J,B02,FALSE,BLUE,42,SELECTED,FALSE,,,,,1.163,7
plate-J,B03,FALSE,TWEED,43,CONTROL,FALSE,,,,,1.15,6
plate-J,B04,FALSE,BLUE,44,CONTROL,FALSE,,,,,0.918,5
plate-J,C01,FALSE,TWEED,45,SELECTED,FALSE,,,,,1.867,11
plate-J,C02,FALSE,BLUE,46,SELECTED,FALSE,,,,,1.13,10
plate-J,C03,FALSE,TWEED,47,CONTROL,FALSE,,,,,1.027,9
plate-J,C04,TRUE,,,,FALSE,,,,,,
plate-K,A01,FALSE,TWEED,49,SELECTED,FALSE,,,,,1.095,1
plate-K,A02,FALSE,BLUE,50,SELECTED,TRUE,volume loss,,,,1.092,2
plate-K,A03,FALSE,TWEED,51,CONTROL,FALSE,,,,,1.084,3
plate-K,A04,FALSE,BLUE,52,CONTROL,FALSE,,,,,0.766,4
plate-K,B01,FALSE,TWEED,53,SELECTED,FALSE,,,,,1.406,7
plate-K,B02,FALSE,BLUE,54,SELECTED,FALSE,,,,,1.162,6
plate-K,B03,FALSE,TWEED,55,CONTROL,FALSE,,,,,0.701,8
plate-K,B04,FALSE,BLUE,56,CONTROL,FALSE,,,,,1.396,5
plate-K,C01,TRUE,,,,FALSE,,,,,,
plate-K,C02,FALSE,BLUE,58,SELECTED,FALSE,,,,,1.332,9
plate-K,C03,FALSE,TWEED,59,CONTROL,FALSE,,,,,0.927,11
plate-K,C04,FALSE,BLUE,60,CONTROL,FALSE,,,,,1.204,10
plate-L,A01,FALSE,TWEED,61,SELECTED,FALSE,,,,,0.916,3
plate-L,A02,FALSE,BLUE,62,SELECTED,FALSE,,,,,1.293,1
plate-L,A03,FALSE,TWEED,63,CONTROL,FALSE,,,,,0.937,2
plate-L,A04,FALSE,BLUE,64,CONTROL,TRUE,volume loss,,,,1.014,4
plate-L,B01,FALSE,TWEED,65,SELECTED,FALSE,,,,,1.461,5
plate-L,B02,FALSE,BLUE,66,SELECTED,FALSE,,,,,1.038,7
plate-L,B03,FALSE,TWEED,67,CONTROL,FALSE,,,,,0.963,8
plate-L,B04,FALSE,BLUE,68,CONTROL,FALSE,,,,,1.027,6
plate-L,C01,FALSE,TWEED,69,SELECTED,FALSE,,,,,1.074,11
plate-L,C02,TRUE,,,,FALSE,,,,,,
plate-L,C03,FALSE,TWEED,71,CONTROL,FALSE,,,,,1.107,10
plate-L,C04,FALSE,BLUE,72,CONTROL,FALSE,,,,,1.62,9
