 ,Area,Mean,Min,Max
1,1.396,255,255,255
2,0.670,255,255,255
3,1.083,255,255,255
4,0.968,255,255,255
5,1.049,255,255,255
6,1.491,255,255,255
7,1.362,255,255,255
8,0.554,255,255,255
9,1.702,255,255,255
10,1.657,255,255,255
11,1.992,255,255,255
