 ,Area,Mean,Min,Max
1,1.470,255,255,255
2,0.789,255,255,255
3,1.010,255,255,255
4,0.847,255,255,255
5,1.062,255,255,255
6,1.481,255,255,255
7,1.228,255,255,255
8,1.070,255,255,255
9,2.028,255,255,255
10,1.678,255,255,255
11,1.476,255,255,255
