 ,Area,Mean,Min,Max
1,45503,255,255,255
2,69279,255,255,255
3,46494,255,255,255
4,51109,255,255,255
5,55316,255,255,255
6,27220,255,255,255
7,48082,255,255,255
8,43667,255,255,255
9,39385,255,255,255
10,69150,255,255,255
11,39874,255,255,255
