 ,Area,Mean,Min,Max,plate_well
1,1.47,255,255,255,A1
2,0.789,255,255,255,A4
3,1.01,255,255,255,A3
4,0.847,255,255,255,A2
5,1.062,255,255,255,B1
6,1.481,255,255,255,B2
7,1.228,255,255,255,B3
8,1.07,255,255,255,B4
9,2.028,255,255,255,C3
10,1.678,255,255,255,C1
11,1.476,255,255,255,C2
