imageJ_ID,Area,sample_ID.group
1,72.805,22
2,74.882,25
3,61.983,24
4,71.994,21
5,66.354,23
6,58.412,29
7,79.645,28
8,99.605,27
9,73.746,30
10,82.164,26
12,89.189,35
13,100.066,34
14,102.427,32
15,81.913,31
16,66.711,33
17,66.713,40
18,70.575,38
19,56.825,36
20,79.301,39
21,89.18,37
