imageJ_ID,Area,sample_ID.group
1,198.336,28
2,237.964,25
3,167.012,26
4,174.02,27
5,163.224,30
6,155.675,32
7,120.558,29
8,149.261,31
9,127.102,34
10,203.482,33
11,99.244,36
