plate_ID,plate_well,is_blank,family_ID.group,sample_ID.group,treatment.group,exclude_from_analysis,exclude_reason,width_mm.measurement,length_mm.measurement,weight_mg.measurement,area_cm2.measurement,imageJ_ID
plate-B,A01,FALSE,TWEED,1,SELECTED,FALSE,,,,,,
plate-B,A02,FALSE,BLUE,2,SELECTED,FALSE,,,,,,
plate-B,A03,FALSE,TWEED,3,CONTROL,FALSE,,,,,,
plate-B,A04,FALSE,BLUE,4,CONTROL,FALSE,,,,,,
plate-B,B01,FALSE,TWEED,5,SELECTED,FALSE,,,,,,
plate-B,B02,FALSE,BLUE,6,SELECTED,FALSE,,,,,,
plate-B,B03,FALSE,TWEED,7,CONTROL,FALSE,,,,,,
plate-B,B04,FALSE,BLUE,8,CONTROL,FALSE,,,,,,
plate-B,C01,TRUE,,,,FALSE,,,,,,
plate-B,C02,FALSE,BLUE,10,SELECTED,FALSE,,,,,,
plate-B,C03,FALSE,TWEED,11,CONTROL,FALSE,,,,,,
plate-B,C04,FALSE,BLUE,12,CONTROL,FALSE,,,,,,
plate-H,A01,FALSE,TWEED,13,SELECTED,FALSE,,,,,,
plate-H,A02,FALSE,BLUE,14,SELECTED,FALSE,,,,,,
plate-H,A03,FALSE,TWEED,15,CONTROL,FALSE,,,,,,
plate-H,A04,FALSE,BLUE,16,CONTROL,FALSE,,,,,,
plate-H,B01,FALSE,TWEED,17,SELECTED,FALSE,,,,,,
plate-H,B02,FALSE,BLUE,18,SELECTED,FALSE,,,,,,
plate-H,B03,FALSE,TWEED,19,CONTROL,FALSE,,,,,,
plate-H,B04,FALSE,BLUE,20,CONTROL,FALSE,,,,,,
plate-H,C01,FALSE,TWEED,21,SELECTED,FALSE,,,,,,
plate-H,C02,TRUE,,,,FALSE,,,,,,
plate-H,C03,FALSE,TWEED,23,CONTROL,FALSE,,,,,,
plate-H,C04,FALSE,BLUE,24,CONTROL,FALSE,,,,,,
plate-I,A01,FALSE,TWEED,25,SELECTED,FALSE,,,,,,
plate-I,A02,FALSE,BLUE,26,SELECTED,FALSE,,,,,,
plate-I,A03,FALSE,TWEED,27,CONTROL,FALSE,,,,,,
plate-I,A04,FALSE,BLUE,28,CONTROL,FALSE,,,,,,
plate-I,B01,FALSE,TWEED,29,SELECTED,FALSE,,,,,,
plate-I,B02,FALSE,BLUE,30,SELECTED,FALSE,,,,,,
plate-I,B03,FALSE,TWEED,31,CONTROL,FALSE,,,,,,
plate-I,B04,FALSE,BLUE,32,CONTROL,FALSE,,,,,,
plate-I,C01,FALSE,TWEED,33,SELECTED,FALSE,,,,,,
plate-I,C02,FALSE,BLUE,34,SELECTED,FALSE,,,,,,
plate-I,C03,TRUE,,,,FALSE,,,,,,
plate-I,C04,FALSE,BLUE,36,CONTROL,FALSE,,,,,,
plate-J,A01,FALSE,TWEED,37,SELECTED,FALSE,,,,,,
plate-J,A02,FALSE,BLUE,38,SELECTED,FALSE,,,,,,
plate-J,A03,FALSE,TWEED,39,CONTROL,FALSE,,,,,,
plate-J,A04,FALSE,BLUE,40,CONTROL,FALSE,,,,,,
plate-J,B01,FALSE,TWEED,41,SELECTED,FALSE,,,,,,
plate-J,B02,FALSE,BLUE,42,SELECTED,FALSE,,,,,,
plate-J,B03,FALSE,TWEED,43,CONTROL,FALSE,,,,,,
plate-J,B04,FALSE,BLUE,44,CONTROL,FALSE,,,,,,
plate-J,C01,FALSE,TWEED,45,SELECTED,FALSE,,,,,,
plate-J,C02,FALSE,BLUE,46,SELECTED,FALSE,,,,,,
plate-J,C03,FALSE,TWEED,47,CONTROL,FALSE,,,,,,
plate-J,C04,TRUE,,,,FALSE,,,,,,
plate-K,A01,FALSE,TWEED,49,SELECTED,FALSE,,,,,,
plate-K,A02,FALSE,BLUE,50,SELECTED,FALSE,,,,,,
plate-K,A03,FALSE,TWEED,51,CONTROL,FALSE,,,,,,
plate-K,A04,FALSE,BLUE,52,CONTROL,FALSE,,,,,,
plate-K,B01,FALSE,TWEED,53,SELECTED,FALSE,,,,,,
plate-K,B02,FALSE,BLUE,54,SELECTED,FALSE,,,,,,
plate-K,B03,FALSE,TWEED,55,CONTROL,FALSE,,,,,,
plate-K,B04,FALSE,BLUE,56,CONTROL,FALSE,,,,,,
plate-K,C01,TRUE,,,,FALSE,,,,,,
plate-K,C02,FALSE,BLUE,58,SELECTED,FALSE,,,,,,
plate-K,C03,FALSE,TWEED,59,CONTROL,FALSE,,,,,,
plate-K,C04,FALSE,BLUE,60,CONTROL,FALSE,,,,,,
plate-L,A01,FALSE,TWEED,61,SELECTED,FALSE,,,,,,
plate-L,A02,FALSE,BLUE,62,SELECTED,FALSE,,,,,,
plate-L,A03,FALSE,TWEED,63,CONTROL,FALSE,,,,,,
plate-L,A04,FALSE,BLUE,64,CONTROL,FALSE,,,,,,
plate-L,B01,FALSE,TWEED,65,SELECTED,FALSE,,,,,,
plate-L,B02,FALSE,BLUE,66,SELECTED,FALSE,,,,,,
plate-L,B03,FALSE,TWEED,67,CONTROL,FALSE,,,,,,
plate-L,B04,FALSE,BLUE,68,CONTROL,FALSE,,,,,,
plate-L,C01,FALSE,TWEED,69,SELECTED,FALSE,,,,,,
plate-L,C02,TRUE,,,,FALSE,,,,,,
plate-L,C03,FALSE,TWEED,71,CONTROL,FALSE,,,,,,
plate-L,C04,FALSE,BLUE,72,CONTROL,FALSE,,,,,,
