imageJ_ID,Area,sample_ID.group
1,136.641,52
2,175.426,51
3,190.345,49
4,150.627,50
5,156.925,54
6,101.239,56
7,158.146,53
8,112.167,55
9,136.78,60
10,191.154,58
11,180.811,59
