experiment_dir,source_file,source_name,plate_id,time_hr,read_datetime,actual_temperature,excitation_emission,row_id,col_id,well_id,sample_label,treatment,shell_color,treatment_group,size_mm,weight_mg,family_id_group,sample_id_group,width_mm_measurement,length_mm_measurement,weight_mg_measurement,area_mm2_measurement,area_cm2_measurement,is_blank,exclude_from_analysis,exclude_reason,layout_status,duplicate_timepoint,value,delta_value,mean_blank_value,normalized_value,value_initial,meas_norm_area_mm2_measurement,paper_metabolism_area_mm2_measurement,meas_norm_area_cm2_measurement,paper_metabolism_area_cm2_measurement
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",A,1,A1,NA,control,NA,control,NA,NA,blue,1,NA,NA,NA,104.746,NA,FALSE,FALSE,NA,parsed_table,FALSE,230,0,185.25,1.2415654520917678,230,2.19578790598209,0.009546903939052566,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",A,1,A1,NA,control,NA,control,NA,NA,blue,1,NA,NA,NA,104.746,NA,FALSE,FALSE,NA,parsed_table,FALSE,1947,1717,178.75,10.892307692307693,230,18.587821969335344,0.08081661725797977,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",A,1,A1,NA,control,NA,control,NA,NA,blue,1,NA,NA,NA,104.746,NA,FALSE,FALSE,NA,parsed_table,FALSE,3534,1587,177,19.966101694915253,230,33.73875852061177,0.14669025443744246,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",A,1,A1,NA,control,NA,control,NA,NA,blue,1,NA,NA,NA,104.746,NA,FALSE,FALSE,NA,parsed_table,FALSE,4959,1425,174.25,28.459110473457677,230,47.343096633761675,0.2058395505815725,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",A,1,A1,NA,control,NA,control,NA,NA,blue,1,NA,NA,NA,104.746,NA,FALSE,FALSE,NA,parsed_table,FALSE,5797,838,175,33.12571428571429,230,55.34340213468772,0.24062348754212054,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",A,2,A2,NA,control,NA,control,NA,NA,blue,2,NA,NA,NA,102.152,NA,FALSE,FALSE,NA,parsed_table,FALSE,304,0,185.25,1.641025641025641,304,2.9759573968204243,0.009789333542172448,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",A,2,A2,NA,control,NA,control,NA,NA,blue,2,NA,NA,NA,102.152,NA,FALSE,FALSE,NA,parsed_table,FALSE,1722,1418,178.75,9.633566433566434,304,16.85723235962096,0.05545142223559525,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",A,2,A2,NA,control,NA,control,NA,NA,blue,2,NA,NA,NA,102.152,NA,FALSE,FALSE,NA,parsed_table,FALSE,4702,2980,177,26.56497175141243,304,46.029446315294855,0.1514126523529436,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",A,2,A2,NA,control,NA,control,NA,NA,blue,2,NA,NA,NA,102.152,NA,FALSE,FALSE,NA,parsed_table,FALSE,6366,1664,174.25,36.533715925394546,304,62.318897329469806,0.20499637279430857,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",A,2,A2,NA,control,NA,control,NA,NA,blue,2,NA,NA,NA,102.152,NA,FALSE,FALSE,NA,parsed_table,FALSE,7279,913,175,41.59428571428571,304,71.25655885347325,0.23439657517589887,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",A,3,A3,NA,control,NA,control,NA,NA,blue,3,NA,NA,NA,84.599,NA,FALSE,FALSE,NA,parsed_table,FALSE,253,0,185.25,1.3657219973009447,253,2.990579084859159,0.01182047069114292,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",A,3,A3,NA,control,NA,control,NA,NA,blue,3,NA,NA,NA,84.599,NA,FALSE,FALSE,NA,parsed_table,FALSE,4583,4330,178.75,25.63916083916084,253,54.17321717750801,0.21412338805339134,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",A,3,A3,NA,control,NA,control,NA,NA,blue,3,NA,NA,NA,84.599,NA,FALSE,FALSE,NA,parsed_table,FALSE,9066,4483,177,51.220338983050844,253,107.16438728590173,0.4235746533039593,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",A,3,A3,NA,control,NA,control,NA,NA,blue,3,NA,NA,NA,84.599,NA,FALSE,FALSE,NA,parsed_table,FALSE,10532,1466,174.25,60.441893830703016,253,124.49319731911724,0.4920679735933488,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",A,3,A3,NA,control,NA,control,NA,NA,blue,3,NA,NA,NA,84.599,NA,FALSE,FALSE,NA,parsed_table,FALSE,10538,6,175,60.21714285714286,253,124.5641201432641,0.49234830096151816,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",A,4,A4,NA,control,NA,control,NA,NA,blue,4,NA,NA,NA,59.243,NA,FALSE,FALSE,NA,parsed_table,FALSE,376,0,185.25,2.029689608636977,376,6.346741387168104,0.01687963134885134,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",A,4,A4,NA,control,NA,control,NA,NA,blue,4,NA,NA,NA,59.243,NA,FALSE,FALSE,NA,parsed_table,FALSE,5998,5622,178.75,33.55524475524476,376,101.24402883041034,0.26926603412343175,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",A,4,A4,NA,control,NA,control,NA,NA,blue,4,NA,NA,NA,59.243,NA,FALSE,FALSE,NA,parsed_table,FALSE,9375,3377,177,52.96610169491525,376,158.24654389548132,0.42086846780713116,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",A,4,A4,NA,control,NA,control,NA,NA,blue,4,NA,NA,NA,59.243,NA,FALSE,FALSE,NA,parsed_table,FALSE,10273,898,174.25,58.955523672883785,376,173.40445284674982,0.46118205544348356,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",A,4,A4,NA,control,NA,control,NA,NA,blue,4,NA,NA,NA,59.243,NA,FALSE,FALSE,NA,parsed_table,FALSE,10037,-236,175,57.354285714285716,376,169.42085984842092,0.45058739321388536,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",A,5,A5,NA,control,NA,control,NA,NA,blue,5,NA,NA,NA,86.103,NA,FALSE,FALSE,NA,parsed_table,FALSE,389,0,185.25,2.099865047233468,389,4.517844906681533,0.011613997189412681,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",A,5,A5,NA,control,NA,control,NA,NA,blue,5,NA,NA,NA,86.103,NA,FALSE,FALSE,NA,parsed_table,FALSE,2759,2370,178.75,15.434965034965035,389,32.043018245589586,0.08237279754650279,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",A,5,A5,NA,control,NA,control,NA,NA,blue,5,NA,NA,NA,86.103,NA,FALSE,FALSE,NA,parsed_table,FALSE,6413,3654,177,36.23163841807909,389,74.48056397570352,0.19146674543882652,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",A,5,A5,NA,control,NA,control,NA,NA,blue,5,NA,NA,NA,86.103,NA,FALSE,FALSE,NA,parsed_table,FALSE,8297,1884,174.25,47.6154949784792,389,96.36133468055701,0.24771551331762728,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",A,5,A5,NA,control,NA,control,NA,NA,blue,5,NA,NA,NA,86.103,NA,FALSE,FALSE,NA,parsed_table,FALSE,9012,715,175,51.497142857142855,389,104.66534267098709,0.2690625775603781,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",A,6,A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,parsed_table,FALSE,184,0,185.25,0.9932523616734144,NA,NA,NA,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",A,6,A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,parsed_table,FALSE,176,-8,178.75,0.9846153846153847,NA,NA,NA,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",A,6,A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,parsed_table,FALSE,175,-1,177,0.9887005649717514,NA,NA,NA,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",A,6,A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,parsed_table,FALSE,174,-1,174.25,0.9985652797704447,NA,NA,NA,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",A,6,A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,parsed_table,FALSE,178,4,175,1.0171428571428571,NA,NA,NA,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",B,1,B1,NA,control,NA,control,NA,NA,blue,6,NA,NA,NA,97.581,NA,FALSE,FALSE,NA,parsed_table,FALSE,278,0,185.25,1.5006747638326585,278,2.8489152601428556,0.010247896619218905,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",B,1,B1,NA,control,NA,control,NA,NA,blue,6,NA,NA,NA,97.581,NA,FALSE,FALSE,NA,parsed_table,FALSE,2793,2515,178.75,15.625174825174826,278,28.622375257478403,0.10295818437941871,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",B,1,B1,NA,control,NA,control,NA,NA,blue,6,NA,NA,NA,97.581,NA,FALSE,FALSE,NA,parsed_table,FALSE,4460,1667,177,25.19774011299435,278,45.705618921716315,0.16440870115725295,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",B,1,B1,NA,control,NA,control,NA,NA,blue,6,NA,NA,NA,97.581,NA,FALSE,FALSE,NA,parsed_table,FALSE,5810,1350,174.25,33.3428981348637,278,59.54027935766184,0.21417366675417926,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",B,1,B1,NA,control,NA,control,NA,NA,blue,6,NA,NA,NA,97.581,NA,FALSE,FALSE,NA,parsed_table,FALSE,6610,800,175,37.77142857142857,278,67.73859665303696,0.243664016737543,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",B,2,B2,NA,control,NA,control,NA,NA,blue,7,NA,NA,NA,76.055,NA,FALSE,FALSE,NA,parsed_table,FALSE,493,0,185.25,2.661268556005398,493,6.48215107488002,0.01314837946223128,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",B,2,B2,NA,control,NA,control,NA,NA,blue,7,NA,NA,NA,76.055,NA,FALSE,FALSE,NA,parsed_table,FALSE,2999,2506,178.75,16.77762237762238,493,39.431990007231605,0.07998375255016553,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.0.txt,plate-C-blue-T1.0.txt,c-blue,1,2026-03-30T11:32:17Z,22.8,"528/20,528/20",B,2,B2,NA,control,NA,control,NA,NA,blue,7,NA,NA,NA,76.055,NA,FALSE,FALSE,NA,parsed_table,FALSE,7997,4998,177,45.18079096045198,493,105.14759055946354,0.21328111675347572,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T1.5.txt,plate-C-blue-T1.5.txt,c-blue,1.5,2026-03-30T12:05:31Z,23.5,"528/20,528/20",B,2,B2,NA,control,NA,control,NA,NA,blue,7,NA,NA,NA,76.055,NA,FALSE,FALSE,NA,parsed_table,FALSE,10352,2355,174.25,59.40889526542324,493,136.1120241930182,0.2760892985659598,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T2.0.txt,plate-C-blue-T2.0.txt,c-blue,2,2026-03-30T12:37:14Z,23.9,"528/20,528/20",B,2,B2,NA,control,NA,control,NA,NA,blue,7,NA,NA,NA,76.055,NA,FALSE,FALSE,NA,parsed_table,FALSE,9830,-522,175,56.17142857142857,493,129.24857011373348,0.262167485017715,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.0.txt,plate-C-blue-T0.0.txt,c-blue,0,2026-03-30T10:22:35Z,20.8,"528/20,528/20",B,3,B3,NA,control,NA,control,NA,NA,blue,8,NA,NA,NA,128.117,NA,FALSE,FALSE,NA,parsed_table,FALSE,233,0,185.25,1.2577597840755737,233,1.8186501401063093,0.007805365408181585,NA,NA
20260330-clam-40C-C-vs-S,/Users/sr320/Documents/GitHub/resazurin-assay-development/data/clam/20260330-clam-40C-C-vs-S/plate-C-blue-T0.5.txt,plate-C-blue-T0.5.txt,c-blue,0.5,2026-03-30T10:56:58Z,21.7,"528/20,528/20",B,3,B3,NA,control,NA,control,NA,NA,blue,8,NA,NA,NA,128.117,NA,FALSE,FALSE,NA,parsed_table,FALSE,1109,876,178.75,6.2041958041958045,233,8.656150237673378,0.037150859389156125,NA,NA
