529/590													
	1	2	3	4	5	6	7	8	9	10	11	12	
A	8130	2269	23544	4263	12828	14521	17236	8900	15861	10575	25333	18038	"530/25,590/35"
B	5036	6700	8002	10242	21251	13970	12321	10102	10152	6600	5491	5597	"530/25,590/35"
C	1368	1389	1460	1557	1540	0	0	0	0	0	0	0	"530/25,590/35"
D	0	0	0	0	0	0	0	0	0	0	0	0	"530/25,590/35"
E	2	0	0	0	0	0	0	0	0	0	0	2	"530/25,590/35"
F	0	2	1	1	1	0	0	0	0	1	0	1	"530/25,590/35"
G	3	1	3	0	1	0	0	0	1	1	1	2	"530/25,590/35"
H	4	1	2	3	0	1	0	1	0	1	0	1	"530/25,590/35"
