530/590													
	1	2	3	4	5	6	7	8	9	10	11	12	
A	7053	6635	9177	28334	17961	7303	18728	26675	18842	8544	18765	16640	"530/25,590/35"
B	23919	44011	6426	10636	6012	29409	7529	15745	7307	36150	11663	14252	"530/25,590/35"
C	1026	1069	1036	1034	1014	0	0	0	0	0	0	0	"530/25,590/35"
D	0	1	1	0	0	0	0	0	0	0	0	0	"530/25,590/35"
E	0	1	1	0	0	0	0	0	0	0	0	0	"530/25,590/35"
F	0	1	1	0	0	0	0	0	0	0	0	0	"530/25,590/35"
G	0	0	0	0	0	0	0	0	0	0	0	0	"530/25,590/35"
H	1	0	0	1	0	0	0	0	0	0	0	0	"530/25,590/35"
