metric,family_id_group,treatment_group,n,mean,sd,se,median
metabolism_per_area_mm2_measurement,blue,control,17,0.09035727452327671,0.02748630410408662,0.006666407945823373,0.08703037633471196
metabolism_per_area_mm2_measurement,blue,selected,16,0.09248321646919835,0.02123518715687384,0.00530879678921846,0.0936370499514654
metabolism_per_area_mm2_measurement,tweed,control,17,0.08745172863149285,0.024778250807359223,0.006009608546869891,0.08009348923765483
metabolism_per_area_mm2_measurement,tweed,selected,16,0.10175120280486431,0.03964242350789811,0.009910605876974527,0.1062122585998516
