trace_id,family_id_group,treatment_group,AUC,n_timepoints,metric
1,tweed,selected,0.11091104994252204,9,metabolism_per_area_mm2_measurement
10,blue,selected,0.07372859374724595,9,metabolism_per_area_mm2_measurement
11,tweed,control,0.07777132213529504,9,metabolism_per_area_mm2_measurement
12,blue,control,0.0963160661348231,9,metabolism_per_area_mm2_measurement
13,tweed,selected,0.10921383785472312,9,metabolism_per_area_mm2_measurement
14,blue,selected,0.1063680138453561,9,metabolism_per_area_mm2_measurement
15,tweed,control,0.10113216552913908,9,metabolism_per_area_mm2_measurement
16,blue,control,0.060323335624952436,9,metabolism_per_area_mm2_measurement
17,tweed,selected,0.08485967937147096,9,metabolism_per_area_mm2_measurement
18,blue,selected,0.07076786608817505,9,metabolism_per_area_mm2_measurement
19,tweed,control,0.16633352350535804,9,metabolism_per_area_mm2_measurement
2,blue,selected,0.08379837449499722,9,metabolism_per_area_mm2_measurement
20,blue,control,0.07027687217743306,9,metabolism_per_area_mm2_measurement
21,tweed,selected,0.07964192209168665,9,metabolism_per_area_mm2_measurement
23,tweed,control,0.08509150179859647,9,metabolism_per_area_mm2_measurement
24,blue,control,0.09519074732029437,9,metabolism_per_area_mm2_measurement
25,tweed,selected,0.06585386807533611,9,metabolism_per_area_mm2_measurement
26,blue,selected,0.11530670335646367,9,metabolism_per_area_mm2_measurement
27,tweed,control,0.07857198079942644,9,metabolism_per_area_mm2_measurement
28,blue,control,0.14464560912981378,9,metabolism_per_area_mm2_measurement
29,tweed,selected,0.11172346632515842,9,metabolism_per_area_mm2_measurement
3,tweed,control,0.07283835438422828,9,metabolism_per_area_mm2_measurement
30,blue,selected,0.10356530190666591,9,metabolism_per_area_mm2_measurement
31,tweed,control,0.06390500879220397,9,metabolism_per_area_mm2_measurement
32,blue,control,0.07463206981238647,9,metabolism_per_area_mm2_measurement
33,tweed,selected,0.10422503625970121,9,metabolism_per_area_mm2_measurement
34,blue,selected,0.14437852281484356,9,metabolism_per_area_mm2_measurement
36,blue,control,0.09310582695443036,9,metabolism_per_area_mm2_measurement
37,tweed,selected,0.10938699823285415,9,metabolism_per_area_mm2_measurement
38,blue,selected,0.10966967135798306,9,metabolism_per_area_mm2_measurement
39,tweed,control,0.08551938823627289,9,metabolism_per_area_mm2_measurement
4,blue,control,0.0880188550024383,9,metabolism_per_area_mm2_measurement
40,blue,control,0.1178372985358736,9,metabolism_per_area_mm2_measurement
41,tweed,selected,0.11543274074824587,9,metabolism_per_area_mm2_measurement
42,blue,selected,0.09561630430004682,9,metabolism_per_area_mm2_measurement
43,tweed,control,0.0836250884354441,9,metabolism_per_area_mm2_measurement
44,blue,control,0.06269589193976823,9,metabolism_per_area_mm2_measurement
45,tweed,selected,0.09008990987394257,9,metabolism_per_area_mm2_measurement
46,blue,selected,0.09554194155087437,9,metabolism_per_area_mm2_measurement
47,tweed,control,0.0713810833190408,9,metabolism_per_area_mm2_measurement
49,tweed,selected,0.108199480940002,9,metabolism_per_area_mm2_measurement
5,tweed,selected,0.06600850164313685,9,metabolism_per_area_mm2_measurement
50,blue,selected,0.09390979510878333,9,metabolism_per_area_mm2_measurement
51,tweed,control,0.07208576628004779,9,metabolism_per_area_mm2_measurement
52,blue,control,0.08247644480546758,9,metabolism_per_area_mm2_measurement
53,tweed,selected,0.11749962806955427,9,metabolism_per_area_mm2_measurement
54,blue,selected,0.06050639193110774,9,metabolism_per_area_mm2_measurement
55,tweed,control,0.10257777937610242,9,metabolism_per_area_mm2_measurement
56,blue,control,0.08884049654065408,9,metabolism_per_area_mm2_measurement
58,blue,selected,0.06829350627413969,9,metabolism_per_area_mm2_measurement
59,tweed,control,0.07264145887518211,9,metabolism_per_area_mm2_measurement
6,blue,selected,0.09336430479414749,9,metabolism_per_area_mm2_measurement
60,blue,control,0.15770540975249267,9,metabolism_per_area_mm2_measurement
61,tweed,selected,0.05005433344700165,9,metabolism_per_area_mm2_measurement
62,blue,selected,0.09269577697975401,9,metabolism_per_area_mm2_measurement
63,tweed,control,0.09028839414531524,9,metabolism_per_area_mm2_measurement
64,blue,control,0.08045187387873506,9,metabolism_per_area_mm2_measurement
65,tweed,selected,0.07662705950909765,9,metabolism_per_area_mm2_measurement
66,blue,selected,0.07222039495658966,9,metabolism_per_area_mm2_measurement
67,tweed,control,0.08009348923765483,9,metabolism_per_area_mm2_measurement
68,blue,control,0.08071981595471336,9,metabolism_per_area_mm2_measurement
69,tweed,selected,0.22829173249339554,9,metabolism_per_area_mm2_measurement
7,tweed,control,0.06482847991134821,9,metabolism_per_area_mm2_measurement
71,tweed,control,0.11799460197472278,9,metabolism_per_area_mm2_measurement
72,blue,control,0.055806676996715626,9,metabolism_per_area_mm2_measurement
8,blue,control,0.08703037633471196,9,metabolism_per_area_mm2_measurement
