metric,family_id_group,treatment_group,n,mean,sd,se,median
metabolism_per_area_cm2_measurement,blue,control,13,66.56497930653741,24.369999942407965,6.7590218750312605,53.84175423561076
metabolism_per_area_cm2_measurement,blue,selected,12,48.43298459387732,16.122931783949795,4.654289502794694,47.42068240871166
metabolism_per_area_cm2_measurement,tweed,control,14,48.95663688552414,17.64944613509701,4.717012893132465,46.98268579811068
metabolism_per_area_cm2_measurement,tweed,selected,13,50.51836327533465,23.092195239493833,6.404622615309266,44.56482350674434
