row_id,col_id,well_id,value,plate_id,time_hr,is_blank,exclude_from_analysis,exclude_reason,family_id_group,sample_id_group,treatment_group,width_mm_measurement,length_mm_measurement,weight_mg_measurement,area_cm2_measurement,value_t0,fold_change,trace_id,mean_blank_fc,corrected_fc,metabolism_per_area_cm2_measurement
A,1,A1,368,h,0,FALSE,FALSE,NA,tweed,13,selected,NA,NA,NA,1.573,368,1,13,1,0,0
A,2,A2,350,h,0,FALSE,FALSE,NA,blue,14,selected,NA,NA,NA,1.31,350,1,14,1,0,0
A,3,A3,302,h,0,FALSE,FALSE,NA,tweed,15,control,NA,NA,NA,1.105,302,1,15,1,0,0
A,4,A4,310,h,0,FALSE,FALSE,NA,blue,16,control,NA,NA,NA,1.084,310,1,16,1,0,0
B,1,B1,316,h,0,FALSE,FALSE,NA,tweed,17,selected,NA,NA,NA,1.234,316,1,17,1,0,0
B,2,B2,309,h,0,FALSE,FALSE,NA,blue,18,selected,NA,NA,NA,0.937,309,1,18,1,0,0
B,3,B3,256,h,0,FALSE,FALSE,NA,tweed,19,control,NA,NA,NA,0.93,256,1,19,1,0,0
B,4,B4,336,h,0,FALSE,FALSE,NA,blue,20,control,NA,NA,NA,1.25,336,1,20,1,0,0
C,1,C1,318,h,0,FALSE,FALSE,NA,tweed,21,selected,NA,NA,NA,1.584,318,1,21,1,0,0
C,3,C3,317,h,0,FALSE,FALSE,NA,tweed,23,control,NA,NA,NA,1.307,317,1,23,1,0,0
C,4,C4,306,h,0,FALSE,FALSE,NA,blue,24,control,NA,NA,NA,1.215,306,1,24,1,0,0
A,1,A1,1634,h,0.5,FALSE,FALSE,NA,tweed,13,selected,NA,NA,NA,1.573,368,4.440217391304348,13,0.9900497512437811,3.4501676400605668,2.1933678576354527
A,2,A2,991,h,0.5,FALSE,FALSE,NA,blue,14,selected,NA,NA,NA,1.31,350,2.8314285714285714,14,0.9900497512437811,1.8413788201847903,1.405632687163962
A,3,A3,910,h,0.5,FALSE,FALSE,NA,tweed,15,control,NA,NA,NA,1.105,302,3.013245033112583,15,0.9900497512437811,2.0231952818688015,1.8309459564423542
A,4,A4,2209,h,0.5,FALSE,FALSE,NA,blue,16,control,NA,NA,NA,1.084,310,7.125806451612903,16,0.9900497512437811,6.1357567003691225,5.660292159012105
B,1,B1,1591,h,0.5,FALSE,FALSE,NA,tweed,17,selected,NA,NA,NA,1.234,316,5.034810126582278,17,0.9900497512437811,4.044760375338497,3.277763675314828
B,2,B2,834,h,0.5,FALSE,FALSE,NA,blue,18,selected,NA,NA,NA,0.937,309,2.6990291262135924,18,0.9900497512437811,1.7089793749698112,1.823884071472584
B,3,B3,747,h,0.5,FALSE,FALSE,NA,tweed,19,control,NA,NA,NA,0.93,256,2.91796875,19,0.9900497512437811,1.9279189987562189,2.0730311814583
B,4,B4,2719,h,0.5,FALSE,FALSE,NA,blue,20,control,NA,NA,NA,1.25,336,8.092261904761905,20,0.9900497512437811,7.102212153518124,5.681769722814499
C,1,C1,1409,h,0.5,FALSE,FALSE,NA,tweed,21,selected,NA,NA,NA,1.584,318,4.430817610062893,21,0.9900497512437811,3.440767858819112,2.1722019310726717
C,3,C3,1088,h,0.5,FALSE,FALSE,NA,tweed,23,control,NA,NA,NA,1.307,317,3.4321766561514195,23,0.9900497512437811,2.4421269049076386,1.8684980144664414
