plate,well,oyster,length.mm,R.mmol.min,R.mmol.mm.min,R.umol.mm.min
plate1,A1,1-A1,7.4399999999999995,-6.598376838226891e-7,-2.153332821256528e-7,-2.153332821256528e-4
plate1,A3,1-A2,6.92,-4.530906608037802e-6,-7.909174195419031e-7,-7.909174195419031e-4
plate1,A4,1-A3,6.7,-5.060791635548932e-7,-2.1616732817120307e-7,-2.1616732817120307e-4
plate1,A5,1-A4,7.08,-4.24445318491033e-6,-7.325840565116522e-7,-7.325840565116522e-4
plate1,A6,1-A5,9.07,-7.865347274085138e-7,-1.9060382167592956e-7,-1.9060382167592954e-4
plate1,B2,1-A6,9.08,-4.916855957745216e-6,-6.452750983411215e-7,-6.452750983411215e-4
plate1,B3,1-A7,9.18,-3.625320466972069e-6,-4.975558172292196e-7,-4.975558172292196e-4
plate1,B4,1-A8,7.279999999999999,-2.2733748153631128e-6,-4.417055976037473e-7,-4.4170559760374733e-4
plate1,B5,1-A9,9.69,-2.409183446795969e-6,-3.458643325065157e-7,-3.458643325065157e-4
plate1,B6,1-A10,9.6,-3.764155591759613e-6,-4.902497423908105e-7,-4.902497423908105e-4
plate1,C1,1-B1,8.54,-2.1891411501120243e-6,-3.6667249242437846e-7,-3.6667249242437847e-4
plate1,C2,1-B2,9.379999999999999,-2.4119501499115005e-6,-3.575897745313079e-7,-3.575897745313079e-4
plate1,C3,1-B3,8.83,-6.994588642535288e-6,-8.988483100484094e-7,-8.988483100484094e-4
plate1,C4,1-B4,7.78,-1.2135832996148587e-6,-2.770983592296949e-7,-2.770983592296949e-4
plate1,C6,1-B5,6.74,-2.0932534972995177e-6,-4.503702422094488e-7,-4.503702422094488e-4
plate1,D1,1-B6,9.370000000000001,-6.932513806640507e-7,-1.7454571140407875e-7,-1.7454571140407876e-4
plate1,D2,1-B7,6.48,-1.107230971128611e-6,-3.1627668307419417e-7,-3.1627668307419415e-4
plate1,D3,1-B8,7.5,-7.860784925438336e-7,-2.3044272369813347e-7,-2.3044272369813346e-4
plate1,D5,1-B9,4.55,-1.2009542318390333e-6,-4.710321246222419e-7,-4.710321246222419e-4
plate1,D6,1-B10,8.26,-3.5764680254244846e-6,-5.470593172659385e-7,-5.470593172659385e-4
plate2,A1,1-C1,6.37,-1.2861384107002352e-6,-2.7385433094937027e-7,-2.7385433094937026e-4
